rank,originalTitle,tconst,averageRating,numVotes,titleType,primaryTitle,startYear,runtimeMinutes,genres
59,Training Day,tt0139654,7.7,378242,movie,Training Day,2001,122,"Crime,Drama,Thriller"
60,The Boondock Saints,tt0144117,7.8,223798,movie,The Boondock Saints,1999,108,"Action,Crime,Thriller"
61,Full Metal Jacket,tt0093058,8.3,652579,movie,Full Metal Jacket,1987,116,"Drama,War"
62,Taxi Driver,tt0075314,8.3,696287,movie,Taxi Driver,1976,114,"Crime,Drama"
63,West Side Story,tt0055614,7.5,93816,movie,West Side Story,1961,153,"Crime,Drama,Musical"
64,Singin' in the Rain,tt0045152,8.3,211201,movie,Singin' in the Rain,1952,103,"Comedy,Musical,Romance"
65,Rudy,tt0108002,7.5,54372,movie,Rudy,1993,114,"Biography,Drama,Sport"
66,Snatch,tt0208092,8.3,761416,movie,Snatch,2000,104,"Comedy,Crime"
67,12 Angry Men,tt0050083,8.9,661446,movie,12 Angry Men,1957,96,"Crime,Drama"
68,All About Eve,tt0042192,8.2,116636,movie,All About Eve,1950,138,Drama
69,Dirty Harry,tt0066999,7.7,139505,movie,Dirty Harry,1971,102,"Action,Crime,Thriller"
70,The Big Lebowski,tt0118715,8.1,705424,movie,The Big Lebowski,1998,117,"Comedy,Crime,Sport"
71,Superman,tt0078346,7.3,155303,movie,Superman,1978,143,"Action,Adventure,Drama"
72,Silence of the Lambs,tt0102926,8.6,1222912,movie,Sience of the Lambs,1990,118,"Crime,Drama,Thriller"
73,Double Indemnity,tt0036775,8.3,138155,movie,Double Indemnity,1944,107,"Crime,Drama,Film-Noir"
74,Unforgiven,tt0105695,8.2,363922,movie,Unforgiven,1992,130,"Drama,Western"
75,Die Hard,tt0095016,8.2,763043,movie,Die Hard,1988,132,"Action,Thriller"
76,Lord of the Rings: The Two Towers,tt0167261,8.7,1439642,movie,Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy"
77,Alien,tt0078748,8.4,762423,movie,Alien,1979,117,"Horror,Sci-Fi"
78,Heat,tt0113277,8.2,557491,movie,Heat,1995,170,"Crime,Drama,Thriller"
79,Citizen Kane,tt0033467,8.3,386077,movie,Citizen Kane,1941,119,"Drama,Mystery"
80,L.A. Confidential,tt0119488,8.2,518211,movie,L.A. Confidential,1997,138,"Crime,Drama,Mystery"
81,Dr. Strangelove,tt0057012,8.4,437872,movie,Dr. Strangelove,1964,95,Comedy
82,Batman,tt0096895,7.5,329967,movie,Batman,1989,126,"Action,Adventure"
83,Star Trek II: The Wrath of Khan,tt0084726,7.7,110023,movie,Star Trek II: The Wrath of Khan,1982,113,"Action,Adventure,Sci-Fi"
84,One Flew Over the Cuckoo's Nest,tt0073486,8.7,884511,movie,One Flew Over the Cuckoo's Nest,1975,133,Drama
85,The Fugitive,tt0106977,7.8,259914,movie,The Fugitive,1993,130,"Action,Crime,Drama"
86,Speed,tt0111257,7.2,319885,movie,Speed,1994,116,"Action,Adventure,Thriller"
87,King Kong,tt0024216,7.9,77045,movie,King Kong,1933,100,"Adventure,Horror,Sci-Fi"
88,Star Wars: Episode I - The Phantom Menace,tt0120915,6.5,708760,movie,Star Wars: Episode I - The Phantom Menace,1999,136,"Action,Adventure,Fantasy"
89,My Fair Lady,tt0058385,7.8,84181,movie,My Fair Lady,1964,170,"Drama,Family,Musical"
90,Se7en,tt0114369,8.6,1389626,movie,Se7en,1995,127,"Crime,Drama,Mystery"
